LAMMPS data file via bulk2interface

7140 atoms
2772 bonds
8 atom types
3 bond types
0.009393 32.490607 xlo xhi
0.009393 32.490607 ylo yhi
-45.000000 45.000000 zlo zhi

Masses

   1   17.398  # F DC
   2    6.941  # Li
   3   22.189  # Na DC
   4   38.298  # K DC
   5   58.693  # Ni
   6    0.800  # F DP
   7    0.800  # Na DP
   8    0.800  # K DP

Bond Coeffs

   1  1260.755258     0.000000  # F DC-DP
   2  1260.755258     0.000000  # Na DC-DP
   3  1477.301745     0.000000  # K DC-DP

Atoms

   3235       0    3   2.0065  1.349656e+01  9.888360e+00 -2.857136e+01   # DC
   2793       0    2   1.0000  1.519513e+01  4.557182e+00 -2.899924e+01  
   2082       0    1   1.9815  6.643858e+00  1.517563e+01 -2.412435e+01   # DC
   1868       0    1   1.9815  7.489320e+00  1.060051e+01 -2.689435e+01   # DC
   1265       0    4   3.4894  1.365544e+01  4.228426e+00 -2.607305e+01   # DC
   1901       0    2   1.0000  1.536038e+01  1.061755e+01 -2.355254e+01  
     87       0    4   3.4894  1.019519e+01  4.558383e+00 -2.625337e+01   # DC
   2515       0    2   1.0000  3.129701e+00  8.104633e+00 -2.898478e+01  
    728       0    1   1.9815  1.343510e+01  1.223313e+01 -2.864481e+01   # DC
   1638       0    1   1.9815  7.756507e+00  4.040405e+00 -2.561544e+01   # DC
   3345       0    3   2.0065  2.723167e+00  4.883982e+00 -2.618133e+01   # DC
   1941       0    2   1.0000  1.099467e+01  1.226738e+01 -2.517784e+01  
   2148       0    1   1.9815  1.148291e+01  2.199869e+00 -2.545323e+01   # DC
   1688       0    1   1.9815  1.026423e+01  3.410140e+00 -2.858581e+01   # DC
   3046       0    1   1.9815  9.348746e+00  7.073298e+00 -2.619516e+01   # DC
   2472       0    1   1.9815  6.989188e+00  1.328764e+00 -2.891568e+01   # DC
   3386       0    1   1.9815  9.358738e-01  1.367311e+01 -2.725925e+01   # DC
    627       0    4   3.4894  9.920354e+00  1.067469e+01 -2.757260e+01   # DC
   1558       0    1   1.9815  2.496397e+00  1.189927e+01 -2.536415e+01   # DC
   2984       0    1   1.9815  1.217534e+01  8.694770e+00 -2.756171e+01   # DC
    121       0    4   3.4894  2.589765e-01  1.066250e+01 -2.474975e+01   # DC
   2792       0    1   1.9815  1.062003e+01  1.000450e+01 -2.510055e+01   # DC
   1841       0    2   1.0000  1.223630e+01  5.282930e+00 -2.290028e+01  
    123       0    4   3.4894  1.285025e+01  9.479753e+00 -2.469171e+01   # DC
   3264       0    1   1.9815  1.368979e+01  5.594949e+00 -2.376105e+01   # DC
   3296       0    1   1.9815  2.249539e+00  2.883456e+00 -2.944033e+01   # DC
   1397       0    4   3.4894  9.319845e+00  1.483051e+01 -2.333907e+01   # DC
   2277       0    2   1.0000  1.601816e+01  1.116942e+00 -2.616805e+01  
   3585       0    3   2.0065  1.071044e-01  6.011083e+00 -2.412344e+01   # DC
    648       0    1   1.9815  1.082167e+01  4.045941e+00 -2.369237e+01   # DC
    132       0    1   1.9815  2.465280e+00  6.373888e+00 -2.826286e+01   # DC
   2471       0    2   1.0000  1.568677e+01  1.301499e+01 -2.916982e+01  
    415       0    4   3.4894  9.417815e+00  5.942816e+00 -2.880836e+01   # DC
   2237       0    2   1.0000  1.090442e+00  5.595090e+00 -2.836700e+01  
   1855       0    2   1.0000  4.279103e+00  3.536955e+00 -2.360325e+01  
   2279       0    2   1.0000  2.267329e+00  1.306790e+01 -2.293633e+01  
   2413       0    2   1.0000  1.302888e+00  3.553810e+00 -2.286288e+01  
   2160       0    1   1.9815  4.096792e+00  1.308283e+01 -2.291248e+01   # DC
   1913       0    2   1.0000  1.611634e+01  9.817812e+00 -2.669055e+01  
     37       0    4   3.4894  3.307807e+00  6.317676e+00 -2.319471e+01   # DC
   2974       0    1   1.9815  1.217926e+01  8.324039e-01 -2.820261e+01   # DC
   3016       0    1   1.9815  7.270731e+00  5.867270e+00 -2.289821e+01   # DC
   2130       0    1   1.9815  1.470811e+01  2.602756e-01 -2.492835e+01   # DC
    557       0    4   3.4894  9.483212e+00  1.120250e+01 -2.268817e+01   # DC
   1415       0    4   3.4894  1.136701e+01  2.326917e-01 -2.372919e+01   # DC
   2884       0    1   1.9815  1.403263e+00  3.572079e-01 -2.373685e+01   # DC
   3246       0    1   1.9815  1.429502e+00  6.785405e+00 -1.689427e+01   # DC
   2956       0    1   1.9815  9.097781e+00  1.426028e+01 -1.678152e+01   # DC
   2230       0    1   1.9815  7.439640e+00  2.630856e+00 -2.126941e+01   # DC
   1366       0    1   1.9815  1.319850e+00  1.154936e+01 -2.234712e+01   # DC
   1549       0    2   1.0000  8.072976e+00  1.608192e+01 -1.582757e+01  
    385       0    4   3.4894  1.972138e-01  1.165468e+01 -2.034944e+01   # DC
   2458       0    1   1.9815  7.496382e+00  3.779432e+00 -1.675591e+01   # DC
   2622       0    1   1.9815  1.410863e+01  1.456118e+01 -2.246276e+01   # DC
   2212       0    1   1.9815  1.198636e+01  1.736158e-01 -1.502209e+01   # DC
    966       0    1   1.9815  9.916805e+00  1.133336e+01 -1.809529e+01   # DC
   1247       0    4   3.4894  1.209320e+01  2.284952e+00 -1.775267e+01   # DC
   1881       0    2   1.0000  5.911985e+00  1.127258e+01 -1.707199e+01  
   1722       0    1   1.9815  3.085873e+00  1.606365e+01 -1.832100e+01   # DC
   2157       0    2   1.0000  1.140366e+01  1.194979e+01 -1.929123e+01  
   1970       0    1   1.9815  8.094273e+00  1.477848e+01 -2.125052e+01   # DC
    604       0    1   1.9815  1.613867e+01  1.154210e+01 -2.009844e+01   # DC
     71       0    4   3.4894  1.362277e+01  1.102091e+01 -2.076597e+01   # DC
   2357       0    2   1.0000  6.708883e+00  1.004722e+01 -2.211145e+01  
   1456       0    1   1.9815  1.152600e+01  1.332006e+01 -1.577103e+01   # DC
   2693       0    2   1.0000  1.188544e+01  5.579044e+00 -1.997266e+01  
   3038       0    1   1.9815  9.805344e+00  1.596281e+00 -1.763705e+01   # DC
   3036       0    1   1.9815  5.593953e+00  1.416611e+01 -2.021800e+01   # DC
   1459       0    4   3.4894  6.459978e+00  7.335820e+00 -2.081677e+01   # DC
    524       0    1   1.9815  4.835197e+00  9.312985e+00 -2.220541e+01   # DC
    987       0    4   3.4894  3.244042e+00  1.382124e+01 -1.887379e+01   # DC
   1176       0    1   1.9815  1.393543e+01  4.765415e+00 -2.042365e+01   # DC
   1814       0    1   1.9815  1.622843e+01  8.021810e+00 -1.868049e+01   # DC
   2990       0    1   1.9815  1.274230e+01  1.145152e+01 -1.831633e+01   # DC
   1284       0    1   1.9815  8.253743e+00  8.974150e+00 -2.147315e+01   # DC
    201       0    4   3.4894  4.917150e+00  1.177264e+01 -2.030146e+01   # DC
   1751       0    2   1.0000  7.299772e+00  1.347735e+01 -2.012032e+01  
   2802       0    1   1.9815  7.726441e+00  4.980224e+00 -1.949635e+01   # DC
   2480       0    1   1.9815  1.823656e+00  3.475216e+00 -1.867679e+01   # DC
   2124       0    1   1.9815  5.882081e+00  6.365512e+00 -1.640014e+01   # DC
   1152       0    1   1.9815  1.192594e+01  6.453806e+00 -2.166288e+01   # DC
   1441       0    4   3.4894  1.379709e+01  8.599500e+00 -1.739164e+01   # DC
   2918       0    1   1.9815  1.585636e+01  9.225610e+00 -1.506794e+01   # DC
   2073       0    2   1.0000  1.581389e+01  3.688354e+00 -1.581072e+01  
   2113       0    2   1.0000  1.153942e+01  1.164319e+01 -1.644947e+01  
   1612       0    1   1.9815  1.240242e+01  1.397328e+01 -1.980183e+01   # DC
    658       0    1   1.9815  7.188799e+00  1.227656e+01 -1.858203e+01   # DC
   2083       0    2   1.0000  1.533356e+01  1.520113e+01 -2.169359e+01  
    115       0    4   3.4894  1.655524e+00  1.313707e+00 -1.996983e+01   # DC
    656       0    1   1.9815  2.391463e+00  2.192306e+00 -2.199733e+01   # DC
   3037       0    2   1.0000  2.441521e+00  1.057306e+01 -1.786954e+01  
   3179       0    3   2.0065  8.207605e+00  1.036159e+01 -1.921361e+01   # DC
   1464       0    1   1.9815  1.079100e+01  4.322106e+00 -1.946598e+01   # DC
   2457       0    2   1.0000  9.151917e-01  6.676058e+00 -2.111877e+01  
    958       0    1   1.9815  6.313894e+00  1.276937e+01 -1.607411e+01   # DC
   2282       0    1   1.9815  7.171479e+00  1.134686e+01 -2.116551e+01   # DC
    229       0    4   3.4894  1.322183e+01  5.177118e+00 -1.504624e+01   # DC
   2783       0    2   1.0000  6.482187e+00  4.199592e+00 -2.093025e+01  
   1458       0    1   1.9815  7.663282e+00  8.152847e+00 -1.860038e+01   # DC
   1298       0    1   1.9815  5.365597e+00  3.094594e+00 -1.931250e+01   # DC
   3106       0    1   1.9815  1.766442e+00  1.187869e+01 -1.858523e+01   # DC
    291       0    4   3.4894  9.309676e+00  5.871623e+00 -1.782707e+01   # DC
   1258       0    1   1.9815  3.606762e+00  4.796181e+00 -1.744132e+01   # DC
   1455       0    4   3.4894  1.171730e+01  4.083698e-01 -2.051319e+01   # DC
   2013       0    2   1.0000  1.485598e+00  7.968887e+00 -1.563252e+01  
     29       0    4   3.4894  5.573909e+00  1.460252e+00 -2.156086e+01   # DC
   3268       0    1   1.9815  1.115004e+01  1.109752e+01 -2.048738e+01   # DC
    567       0    4   3.4894  1.128775e+01  1.529127e+01 -1.751327e+01   # DC
   1452       0    1   1.9815  1.420390e+01  3.000488e+00 -1.597790e+01   # DC
    590       0    1   1.9815  1.228081e+00  4.920705e+00 -2.177485e+01   # DC
    457       0    4   3.4894  5.939476e-01  2.535221e+00 -1.622496e+01   # DC
    274       0    1   1.9815  4.336943e+00  1.102608e+01 -1.803252e+01   # DC
   2696       0    1   1.9815  4.697567e+00  6.018192e-01 -1.572359e+01   # DC
   1681       0    2   1.0000  1.252315e+01  1.490899e+01 -2.112200e+01  
    345       0    4   3.4894  1.481726e+01  2.799652e+00 -1.874054e+01   # DC
   3150       0    1   1.9815  5.103140e+00  4.255722e+00 -2.234815e+01   # DC
   1594       0    1   1.9815  1.415685e+01  8.812519e+00 -2.214233e+01   # DC
   1363       0    4   3.4894  1.448927e+01  7.045162e+00 -2.040387e+01   # DC
   1173       0    4   3.4894  2.420775e+00  9.228290e+00 -2.137968e+01   # DC
    619       0    4   3.4894  7.677815e+00  2.498540e+00 -1.883527e+01   # DC
    869       0    4   3.4894  3.268274e+00  4.399916e+00 -2.039470e+01   # DC
   1826       0    1   1.9815  1.373152e+01  6.967421e-01 -1.832558e+01   # DC
   1649       0    2   1.0000  2.327588e+00  5.644377e+00 -1.814490e+01  
   2343       0    2   1.0000  6.376573e+00  8.069155e+00 -1.690076e+01  
    309       0    4   3.4894  3.017905e+00  1.606553e+01 -2.076898e+01   # DC
   2093       0    2   1.0000  8.504189e+00  1.284182e+01 -1.742733e+01  
    335       0    4   3.4894  1.118490e+01  8.686428e+00 -2.057287e+01   # DC
   1658       0    1   1.9815  1.237287e+01  7.143511e+00 -1.885096e+01   # DC
   3431       0    3   2.0065  6.116307e+00  4.740043e+00 -1.813312e+01   # DC
   1323       0    4   3.4894  9.729950e+00  4.346501e+00 -2.143131e+01   # DC
   3286       0    1   1.9815  6.252577e+00  9.815237e+00 -1.598606e+01   # DC
   2270       0    1   1.9815  5.962882e-01  9.792071e+00 -1.676306e+01   # DC
   1017       0    4   3.4894  1.458424e+01  1.325232e+01 -1.858042e+01   # DC
   2530       0    1   1.9815  2.079462e+00  7.531265e+00 -1.984607e+01   # DC
   2952       0    1   1.9815  1.599460e+01  1.281994e+01 -1.607113e+01   # DC
   3408       0    1   1.9815  1.919469e+00  1.388579e+01 -2.123561e+01   # DC
   3328       0    1   1.9815  1.555530e+01  1.510566e+01 -1.987313e+01   # DC
   1460       0    1   1.9815  1.563183e+00  4.220972e-01 -1.738662e+01   # DC
   3031       0    2   1.0000  8.532313e+00  1.230961e+00 -2.224406e+01  
   1489       0    4   3.4894  4.023859e+00  2.526646e+00 -1.690186e+01   # DC
   1886       0    1   1.9815  1.042832e+01  1.806203e+00 -2.225309e+01   # DC
   1763       0    2   1.0000  6.319724e+00  4.963766e+00 -1.526940e+01  
   3485       0    3   2.0065  2.340429e+00  3.589391e-02 -1.522626e+01   # DC
   3311       0    3   2.0065  5.215856e-02  4.177724e+00 -1.939102e+01   # DC
   3537       0    3   2.0065  9.198810e+00  2.850132e+00 -1.522640e+01   # DC
    292       0    1   1.9815  1.599174e+01  1.376869e+00 -2.247639e+01   # DC
   3078       0    1   1.9815  1.238214e+01  1.092360e+01 -1.505547e+01   # DC
   2446       0    1   1.9815  1.098759e+01  4.465152e+00 -1.543693e+01   # DC
   1329       0    4   3.4894  6.658200e-02  1.380173e+01 -1.780113e+01   # DC
   2415       0    2   1.0000  5.721665e+00  1.404291e+01 -1.517734e+01  
    862       0    1   1.9815  6.301875e-01  7.785339e+00 -2.247060e+01   # DC
   1473       0    4   3.4894  1.471174e+01  3.996610e+00 -2.242187e+01   # DC
    431       0    4   3.4894  9.830101e+00  1.238597e+01 -9.315073e+00   # DC
   2863       0    2   1.0000  1.390927e+01  9.365872e+00 -1.451913e+01  
   1241       0    4   3.4894  5.508850e+00  8.097618e+00 -1.385119e+01   # DC
   3101       0    2   1.0000  1.468503e+01  1.387362e+01 -1.165253e+01  
   3164       0    1   1.9815  6.089764e+00  1.129620e+01 -9.264014e+00   # DC
    572       0    1   1.9815  5.628533e+00  1.072027e+01 -1.236358e+01   # DC
   3330       0    1   1.9815  1.491605e+01  7.709733e-01 -1.303548e+01   # DC
   2794       0    1   1.9815  2.533825e+00  1.525603e+01 -9.811276e+00   # DC
    500       0    1   1.9815  3.504088e-01  7.998581e+00 -1.408676e+01   # DC
   2796       0    1   1.9815  2.247520e+00  5.241269e+00 -1.256043e+01   # DC
   3152       0    1   1.9815  1.767641e+00  9.269423e+00 -8.456246e+00   # DC
   1727       0    2   1.0000  7.313925e+00  4.696868e+00 -1.319353e+01  
   2506       0    1   1.9815  1.325897e+01  1.298096e+01 -1.146036e+01   # DC
   2608       0    1   1.9815  9.463502e+00  1.007462e+01 -1.266450e+01   # DC
   1013       0    4   3.4894  1.364253e+01  1.327148e+01 -1.481884e+01   # DC
   2104       0    1   1.9815  5.942356e+00  9.856882e-01 -1.229324e+01   # DC
   1825       0    2   1.0000  3.038294e+00  1.326241e+01 -1.068371e+01  
   1864       0    1   1.9815  1.425706e+01  3.970559e+00 -1.079575e+01   # DC
   2244       0    1   1.9815  9.376696e+00  7.159831e-01 -1.444585e+01   # DC
   1199       0    4   3.4894  7.776416e+00  1.012893e+01 -1.079622e+01   # DC
   1920       0    1   1.9815  6.029073e+00  5.918854e+00 -8.270383e+00   # DC
   1437       0    4   3.4894  9.938024e+00  6.592355e-01 -1.050391e+01   # DC
   1908       0    1   1.9815  1.255941e+01  6.762423e-01 -1.083358e+01   # DC
    308       0    1   1.9815  1.058530e+01  1.589226e+01 -1.415000e+01   # DC
   2937       0    2   1.0000  1.954727e-01  1.317347e+01 -1.148899e+01  
   2391       0    2   1.0000  1.828407e+00  1.466114e+01 -1.355182e+01  
   2549       0    2   1.0000  1.262745e+01  7.619736e+00 -1.283750e+01  
    887       0    4   3.4894  6.813114e-01  1.344182e+01 -7.982144e+00   # DC
    855       0    4   3.4894  7.981001e+00  3.654936e+00 -8.537582e+00   # DC
   1107       0    4   3.4894  1.396047e+01  8.967833e+00 -1.026319e+01   # DC
   1750       0    1   1.9815  1.531230e+01  7.315650e+00 -1.225197e+01   # DC
